Result for strategy BB_RPB_TSL
=========================================================== BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|      signal_profit_q_momdiv( local_dip ) |       1 |      1     0     0   100 |           4.67 |           4.67 |            11.225 |           0.05 |
|           sell_profit_u_bear_1_1( ewo2 ) |       1 |      1     0     0   100 |           1.65 |           1.65 |             3.955 |           0.02 |
|               sell_profit_t_1_12( ewo2 ) |       1 |      1     0     0   100 |           1.64 |           1.64 |             3.935 |           0.02 |
|       sell_profit_t_1_1( local_uptrend ) |       1 |      1     0     0   100 |           1.9  |           1.9  |             4.572 |           0.02 |
|    sell_profit_t_0_2( bb local_uptrend ) |       1 |      1     0     0   100 |           0.4  |           0.4  |             0.963 |           0    |
|                  sell_profit_t_1_1( bb ) |       1 |      1     0     0   100 |           1.65 |           1.65 |             3.964 |           0.02 |
|  sell_stoploss_deadfish( local_uptrend ) |       1 |      0     0     1     0 |          -7.48 |          -7.48 |           -17.977 |          -0.07 |
|     signal_profit_q_momdiv_coh( nfi_38 ) |       1 |      1     0     0   100 |           5.67 |           5.67 |            13.629 |           0.06 |
|    signal_profit_q_momdiv( ewo2 nfi_33 ) |       1 |      1     0     0   100 |           2.16 |           2.16 |             5.179 |           0.02 |
|    signal_profit_q_momdiv( ewo2 clucHA ) |       1 |      1     0     0   100 |           2.56 |           2.56 |             6.162 |           0.03 |
|        sell_profit_t_cti_r_0_1( clucHA ) |       1 |      1     0     0   100 |           0.17 |           0.17 |             0.419 |           0    |
|          sell_profit_t_cti_r_0_1( cofi ) |       1 |      1     0     0   100 |           0.33 |           0.33 |             0.785 |           0    |
|              sell_profit_t_1_2( clucHA ) |       1 |      1     0     0   100 |           1.6  |           1.6  |             3.844 |           0.02 |
|                                      roi |       1 |      1     0     0   100 |          20.48 |          20.48 |            49.2   |           0.2  |
|        sell_profit_t_cti_r_0_1( nfi_38 ) |       1 |      1     0     0   100 |           0.08 |           0.08 |             0.198 |           0    |
|  signal_profit_q_momdiv( clucHA sqzmom ) |       1 |      1     0     0   100 |           6.16 |           6.16 |            14.797 |           0.06 |
|      signal_profit_q_pmax_bear( nfi_38 ) |       1 |      1     0     0   100 |           4.31 |           4.31 |            10.356 |           0.04 |
|   signal_profit_q_momdiv( gumbo sqzmom ) |       1 |      1     0     0   100 |           7.2  |           7.2  |            17.3   |           0.07 |
|       signal_profit_q_pmax_bear( gumbo ) |       1 |      1     0     0   100 |           3.06 |           3.06 |             7.355 |           0.03 |
|      signal_profit_q_pmax_bear( nfi_32 ) |       1 |      1     0     0   100 |           2.97 |           2.97 |             7.131 |           0.03 |
|         sell_profit_u_bear_1_2( nfix_5 ) |       1 |      1     0     0   100 |           1.55 |           1.55 |             3.734 |           0.02 |
======================================================= LEFT OPEN TRADES REPORT ========================================================
|      Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-----------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
| LOCG/USDT |      1 |           0.36 |           0.36 |             0.853 |           0.07 |        0:05:00 |     1     0     0   100 |
|  MEM/USDT |      1 |          -1.03 |          -1.03 |            -2.486 |          -0.21 |        0:25:00 |     0     0     1     0 |
| WILD/USDT |      1 |          -1.78 |          -1.78 |            -4.276 |          -0.36 |        1:55:00 |     0     0     1     0 |
|     TOTAL |      3 |          -0.82 |          -2.46 |            -5.908 |          -0.49 |        0:48:00 |     1     0     2  33.3 |
=============== SUMMARY METRICS ================
| Metric                 | Value               |
|------------------------+---------------------|
| Backtesting from       | 2021-10-01 00:00:00 |
| Backtesting to         | 2021-10-31 00:00:00 |
| Max open trades        | 102                 |
|                        |                     |
| Total/Daily Avg Trades | 201 / 6.7           |
| Starting balance       | 1200.000 USDT       |
| Final balance          | 2159.079 USDT       |
| Absolute profit        | 959.079 USDT        |
| Total profit %         | 79.92%              |
| Avg. stake amount      | 240.000 USDT        |
| Total trade volume     | 48240.000 USDT      |
|                        |                     |
| Best Pair              | LSS/USDT 90.79%     |
| Worst Pair             | MASK/USDT -10.0%    |
| Best trade             | LSS/USDT 20.48%     |
| Worst trade            | LSS/USDT -12.34%    |
| Best day               | 151.507 USDT        |
| Worst day              | -8.023 USDT         |
| Days win/draw/lose     | 26 / 2 / 3          |
| Avg. Duration Winners  | 0:58:00             |
| Avg. Duration Loser    | 6:49:00             |
| Rejected Buy signals   | 0                   |
|                        |                     |
| Min balance            | 1211.225 USDT       |
| Max balance            | 2165.840 USDT       |
| Drawdown               | 30.88%              |
| Drawdown               | 74.187 USDT         |
| Drawdown high          | 893.742 USDT        |
| Drawdown low           | 819.555 USDT        |
| Drawdown Start         | 2021-10-27 13:15:00 |
| Drawdown End           | 2021-10-28 04:35:00 |
| Market change          | 58.82%              |
================================================
